Estacao,Num_lab,Cu_ppm,Zn_ppm,Long (X) 4326,Lat (Y) 4326
JA-S-600,GIC844,10.3,12,-48.6218109,-13.40493248
JA-S-601,GIC845,6.1,11,-48.59835192,-13.44457394
JA-S-602,GIC846,6.9,14,-48.59849694,-13.44391575
JA-S-603,GIC847,5.7,10,-48.50670132,-13.36120431
JA-S-604,GIC848,8.4,6,-48.57809261,-13.20611195
JA-S-605,GIC849,6.5,20,-48.57946676,-13.21825935
JA-S-606,GIC850,15.4,17,-48.66154183,-13.21205684
JA-S-607,GIC851,16,15,-48.59665953,-13.14343668
JA-S-608,GIC852,3.8,14,-48.58691143,-13.12487699
JA-S-609,GIC853,16,17,-48.59439024,-13.08859743
JA-S-610,GIC854,17.5,17,-48.60565291,-13.08299177
JA-S-611,GIC855,10.6,10,-48.69318163,-13.06832838
JA-S-612,GIC856,3.6,3,-48.68975968,-13.04279812
JA-S-613,GIC857,14.7,37,-48.68825531,-13.03607995
JA-S-614,GIC858,12.3,14,-48.69896378,-13.05209693
JA-S-615,GIC859,6.2,6,-48.6748966,-13.11428384
JA-S-616,GIC860,18.2,18,-48.72640866,-13.03325508
JA-S-617,GIC861,27.9,22,-48.73461187,-13.01898635
JA-S-618,GIC862,6.2,8,-48.7372781,-13.00749735
JA-S-620,GIC863,28.7,47,-48.71769048,-13.36289701
