,Estacao,Num_lab,Cu_ppm,Zn_ppm,Long (X) 4326,Lat (Y) 4326
78,JA-S-580,GIC824,27.6,19.0,-48.7336337880111,-13.4676147332476
79,JA-S-581,GIC825,20.7,17.0,-48.6903350043389,-13.357308615005936
80,JA-S-582,GIC826,28.6,23.0,-48.7834264779146,-13.275810156298048
81,JA-S-583,GIC827,40.6,29.0,-48.82234053836159,-13.30684341611326
82,JA-S-584,GIC828,7.3,3.0,-48.80361575608872,-13.35420521802109
83,JA-S-585,GIC829,5.1,5.0,-48.924509357512164,-13.274929850600016
84,JA-S-586,GIC830,4.8,5.0,-48.937696970896916,-13.28549309492343
85,JA-S-587,GIC831,22.7,10.0,-48.9212870221124,-13.255672465084398
86,JA-S-588,GIC832,3.8,22.0,-48.904088632894926,-13.103183660111162
87,JA-S-589,GIC833,14.9,32.0,-48.58819508810649,-13.232852617109739
88,JA-S-590,GIC834,13.4,10.0,-48.57525424929478,-13.18160848787768
89,JA-S-591,GIC835,21.1,16.0,-48.59899706175809,-13.15902660447159
90,JA-S-592,GIC836,17.4,12.0,-48.66050972695706,-13.131411951066658
91,JA-S-593,GIC837,8.4,9.0,-48.695188416983044,-13.200010132550506
92,JA-S-594,GIC838,22.3,19.0,-48.70118029339949,-13.142007515600246
93,JA-S-595,GIC839,24.6,10.0,-48.8027736901412,-13.162415281916555
94,JA-S-596,GIC840,14.5,9.0,-48.9214781065418,-13.028188432171426
95,JA-S-597,GIC841,17.3,18.0,-48.92103080997183,-13.035396618518247
96,JA-S-598,GIC842,18.5,17.0,-48.85655637085303,-13.02896986067394
97,JA-S-599,GIC843,13.2,8.0,-48.62117486807014,-13.402035141432286
98,JA-S-600,GIC844,10.3,12.0,-48.621810900659334,-13.404932475148323
99,JA-S-601,GIC845,6.1,11.0,-48.59835192233504,-13.444573936863542
100,JA-S-602,GIC846,6.9,14.0,-48.598496944390874,-13.443915746135534
101,JA-S-603,GIC847,5.7,10.0,-48.50670131928901,-13.36120430548496
102,JA-S-604,GIC848,8.4,6.0,-48.57809261233511,-13.206111948228946
103,JA-S-605,GIC849,6.5,20.0,-48.57946676130916,-13.218259354578276
104,JA-S-606,GIC850,15.4,17.0,-48.66154183153621,-13.212056844642118
105,JA-S-607,GIC851,16.0,15.0,-48.59665953477544,-13.143436676899821
106,JA-S-608,GIC852,3.8,14.0,-48.58691143279796,-13.124876990300402
107,JA-S-609,GIC853,16.0,17.0,-48.59439023734855,-13.088597429620568
108,JA-S-610,GIC854,17.5,17.0,-48.60565291230344,-13.082991765847085
109,JA-S-611,GIC855,10.6,10.0,-48.69318162744123,-13.068328384475235
110,JA-S-612,GIC856,3.6,3.0,-48.68975968140349,-13.04279811720046
111,JA-S-613,GIC857,14.7,37.0,-48.68825531029234,-13.036079946128574
112,JA-S-614,GIC858,12.3,14.0,-48.69896378015666,-13.05209692781988
113,JA-S-615,GIC859,6.2,6.0,-48.67489660182331,-13.114283835708255
114,JA-S-616,GIC860,18.2,18.0,-48.72640865964596,-13.033255082967402
115,JA-S-617,GIC861,27.9,22.0,-48.73461186551608,-13.01898634848935
116,JA-S-618,GIC862,6.2,8.0,-48.737278099262916,-13.007497349155635
117,JA-S-620,GIC863,28.7,47.0,-48.71769048446913,-13.362897005601297
