Estacao,N. Lab.,Long (X),Lat (Y),Laboratorio,Cod analise,Tipo de amostra,As (PPM),Bi (PPM)
AF-0047,CCG 572,-52.0534,-7.821966,Acme,ICP14B/1F04,Sed. Cor.,14.4,0.21
AF-0048,CCG 573,-50.0636,-7.82992,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.35
AF-0049,CCG 574,-51.728,-7.834625,Acme,ICP14B/1F04,Sed. Cor.,11.9,0.18
AF-0050A,CCG 575,-51.6363,-7.835392,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.32
AF-0050B,CCH139,-51.6363,-7.835392,Acme,ICP14B/1F04,Sed. Cor.,21,0.3
AF-0051,CCG 576,-51.3706,-7.837009,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.35
AF-0052,CCG 577,-51.406,-7.839472,Acme,ICP14B/1F04,Sed. Cor.,18.7,0.26
AF-0053,CCG 578,-51.2447,-7.841222,Acme,ICP14B/1F04,Sed. Cor.,17.3,0.3
AF-0054,CCG 579,-51.0668,-7.842829,Acme,ICP14B/1F04,Sed. Cor.,9.4,0.29
AF-0055,CCG 580,-52.2969,-7.843915,Acme,ICP14B/1F04,Sed. Cor.,24,0.39
AF-0056,CCG 581,-51.3936,-7.841205,Acme,ICP14B/1F04,Sed. Cor.,23.6,0.27
AF-0057,CCG 582,-51.7396,-7.840917,Acme,ICP14B/1F04,Sed. Cor.,12.6,0.27
AF-0058,CCG 583,-52.1491,-7.839331,Acme,ICP14B/1F04,Sed. Cor.,22.5,0.2
AF-0059,CCG 584,-52.1479,-7.839204,Acme,ICP14B/1F04,Sed. Cor.,9.7,0.32
AF-0060A,CCG 585,-52.0875,-7.838571,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.33
AF-0060B,CCH140,-52.0875,-7.838571,Acme,ICP14B/1F04,Sed. Cor.,18.6,0.3
AF-0061,CCG 586,-51.1342,-7.838628,Acme,ICP14B/1F04,Sed. Cor.,21.7,0.44
AF-0062,CCG 587,-52.1814,-7.832328,Acme,ICP14B/1F04,Sed. Cor.,4.4,0.25
AF-0063,CCG 588,-52.2608,-7.831467,Acme,ICP14B/1F04,Sed. Cor.,15.7,0.29
AF-0064,CCG 589,-52.3035,-7.830389,Acme,ICP14B/1F04,Sed. Cor.,8.7,0.39
AF-0065,CCG 590,-52.5631,-7.826628,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.45
AF-0066,CCG 591,-52.4741,-7.827361,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.49
AF-0067,CCG 592,-52.5833,-7.836822,Acme,ICP14B/1F04,Sed. Cor.,9.2,1.82
AF-0068,CCG 593,-52.4458,-7.829638,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.28
AF-0069,CCG 594,-50.6046,-7.820959,Acme,ICP14B/1F04,Sed. Cor.,23.8,0.18
AF-0070A,CCG 595,-51.035,-7.819103,Acme,ICP14B/1F04,Sed. Cor.,70.3,0.12
AF-0070B,CCH141,-51.035,-7.819103,Acme,ICP14B/1F04,Sed. Cor.,65.4,0.11
AF-0071,CCG 596,-52.0067,-7.829011,Acme,ICP14B/1F04,Sed. Cor.,43.7,0.24
AF-0072,CCG 597,-51.9607,-7.829054,Acme,ICP14B/1F04,Sed. Cor.,13.2,0.28
AF-0073,CCG 598,-52.0871,-7.829597,Acme,ICP14B/1F04,Sed. Cor.,25.2,0.29
AF-0074,CCG 599,-52.1183,-7.829606,Acme,ICP14B/1F04,Sed. Cor.,41.9,0.33
AF-0075,CCG 600,-52.4968,-7.837233,Acme,ICP14B/1F04,Sed. Cor.,13.5,0.39
AF-0076,CCG 601,-52.6338,-7.835569,Acme,ICP14B/1F04,Sed. Cor.,4,0.32
AF-0077,CCG 602,-52.6026,-7.835462,Acme,ICP14B/1F04,Sed. Cor.,12.3,0.2
AF-0078,CCG 603,-52.7744,-7.815351,Acme,ICP14B/1F04,Sed. Cor.,19.9,0.25
AF-0079,CCG 604,-52.7471,-7.812703,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.21
AF-0080A,CCG 605,-52.6928,-7.811905,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.28
AF-0080B,CCH142,-52.6928,-7.811905,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.36
AF-0081,CCG 606,-52.8521,-7.812066,Acme,ICP14B/1F04,Sed. Cor.,23.5,0.2
AF-0082,CCG 607,-52.9047,-7.811397,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.58
AF-0083,CCG 608,-53.3605,-7.814645,Acme,ICP14B/1F04,Sed. Cor.,2.6,1.94
AF-0084,CCG 609,-53.305,-7.815279,Acme,ICP14B/1F04,Sed. Cor.,8.6,0.16
AF-0085,CCG 610,-53.5228,-7.811336,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.46
AF-0086,CCG 611,-53.7137,-7.810392,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.37
AF-0087,CCG 612,-53.6874,-7.808808,Acme,ICP14B/1F04,Sed. Cor.,8.7,1.23
AF-0088,CCG 613,-53.7618,-7.807948,Acme,ICP14B/1F04,Sed. Cor.,6.4,0.4
AF-0089,CCG 614,-53.8623,-7.807732,Acme,ICP14B/1F04,Sed. Cor.,8.1,0.88
AF-0090A,CCG 615,-53.946,-7.80799,Acme,ICP14B/1F04,Sed. Cor.,7.9,1.29
AF-0090B,CCH143,-53.946,-7.80799,Acme,ICP14B/1F04,Sed. Cor.,8.3,1.49
AF-0091,CCG 616,-53.7894,-7.813991,Acme,ICP14B/1F04,Sed. Cor.,8.2,0.25
AF-0092,CCG 617,-53.8279,-7.81285,Acme,ICP14B/1F04,Sed. Cor.,2,0.33
AF-0093,CCG 618,-54.1256,-7.806564,Acme,ICP14B/1F04,Sed. Cor.,6,0.41
AF-0094,CCG 619,-53.7608,-7.8016,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.28
AF-0095,CCG 620,-53.1088,-7.791993,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.05
AF-0096,CCG 621,-53.3559,-7.789763,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.1
AF-0097,CCG 622,-53.5647,-7.792807,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.08
AF-0098,CCG 623,-54.0235,-7.790877,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.1
AF-0099,CCG 624,-53.815,-7.791478,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.04
AF-0100A,CCG 625,-52.9384,-7.789526,Acme,ICP14B/1F04,Sed. Cor.,1,0.06
AF-0100B,CCH144,-52.9384,-7.789526,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.06
ED-0001,CCG 626,-53.65,-7.8355,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.2
ED-0002,CCG 627,-53.58,-7.834614,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.14
ED-0003,CCG 628,-53.5694,-7.835553,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.18
ED-0004,CCG 629,-53.62,-7.8304,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.57
ED-0005,CCG 630,-53.417,-7.84069,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.15
ED-0006,CCG 631,-53.1403,-7.840745,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.49
ED-0007,CCG 632,-52.827,-7.84207,Acme,ICP14B/1F04,Sed. Cor.,1,0.29
ED-0008,CCG 633,-52.7294,-7.842066,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.18
ED-0009,CCG 634,-54.2724,-7.843506,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.18
ED-0010A,CCG 635,-54.0506,-7.841856,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.1
ED-0010B,CCH145,-54.0506,-7.841856,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.15
ED-0011,CCG 636,-52.733,-7.840164,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.32
ED-0012,CCG 637,-53.5752,-7.839003,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.27
ED-0013,CCG 638,-53.8632,-7.839866,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.42
ED-0014,CCG 639,-54.1422,-7.839115,Acme,ICP14B/1F04,Sed. Cor.,1,0.25
ED-0015,CCG 640,-54.0409,-7.838062,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.43
ED-0016,CCG 641,-53.9639,-7.834782,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.15
ED-0017,CCG 642,-53.8667,-7.835929,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.23
ED-0018,CCG 643,-54.1717,-7.824809,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.48
ED-0019,CCG 644,-54.1486,-7.825002,Acme,ICP14B/1F04,Sed. Cor.,2,0.1
ED-0020A,CCG 645,-54.0677,-7.826042,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.14
ED-0020B,CCH146,-54.0677,-7.826042,Acme,ICP14B/1F04,Sed. Cor.,2.7,0.14
JH-0001,CCG 646,-50.8068,-7.790625,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
JH-0002,CCG 647,-50.7555,-7.790292,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.04
JH-0003,CCG 648,-50.7513,-7.790318,Acme,ICP14B/1F04,Sed. Cor.,1,0.04
JH-0004,CCG 649,-50.706,-7.790164,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.05
JH-0005,CCG 650,-50.6585,-7.79045,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.05
JH-0006,CCG 651,-50.6039,-7.790374,Acme,ICP14B/1F04,Sed. Cor.,1,0.03
JH-0007,CCG 652,-50.7025,-7.79035,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.03
JH-0008,CCG 653,-50.6977,-7.789669,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.07
JH-0009,CCG 654,-50.6643,-7.789133,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.16
JH-0010A,CCG 655,-50.6248,-7.788589,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.04
JH-0010B,CCH147,-50.6248,-7.788589,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.04
JH-0011,CCG 656,-50.6906,-7.789343,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.14
JH-0012,CCG 657,-50.6966,-7.78901,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.06
JH-0013,CCG 658,-50.7463,-7.78964,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
LR-0001,CCG 659,-52.9121,-7.827369,Acme,ICP14B/1F04,Sed. Cor.,10.3,0.27
LR-0002,CCG 660,-53.0495,-7.826238,Acme,ICP14B/1F04,Sed. Cor.,10.5,0.28
LR-0003,CCG 661,-52.6414,-7.830347,Acme,ICP14B/1F04,Sed. Cor.,29.3,0.28
LR-0004,CCG 662,-52.6394,-7.830198,Acme,ICP14B/1F04,Sed. Cor.,8.8,0.27
LR-0005,CCG 663,-53.366,-7.830251,Acme,ICP14B/1F04,Sed. Cor.,27.4,0.08
LR-0006,CCG 664,-52.8031,-7.835113,Acme,ICP14B/1F04,Sed. Cor.,4.8,0.19
LR-0007,CCG 665,-52.6096,-7.836052,Acme,ICP14B/1F04,Sed. Cor.,9.7,0.55
LR-0008,CCG 666,-53.3982,-7.833066,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.15
LR-0010A,CCG 667,-54.8367,-7.840558,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.1
LR-0010B,CCH148,-54.8367,-7.840558,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
LR-0011,CCG 668,-55.0025,-7.838711,Acme,ICP14B/1F04,Sed. Cor.,1,0.06
