Estacao,N. Lab.,Long (X),Lat (Y),Laboratorio,Cod analise,Tipo de amostra,As (PPM),Bi (PPM)
MC-0016,CCG 755,-51.2698,-7.798218,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.06
MC-0017,CCG 756,-50.9819,-7.797694,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
MC-0018,CCG 757,-51.1295,-7.797381,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
MC-0019,CCG 758,-50.0839,-7.803223,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.12
MC-0020A,CCG 759,-50.4236,-7.803541,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.16
MC-0020B,CCH157,-50.4236,-7.803541,Acme,ICP14B/1F04,Sed. Cor.,2,0.19
MC-0021,CCG 760,-50.5786,-7.80232,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.19
MC-0022,CCG 761,-50.6873,-7.800772,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.08
MC-0023,CCG 762,-51.1632,-7.801439,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.06
MC-0024,CCG 763,-51.407,-7.79866,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.09
MC-0025,CCG 764,-50.8247,-7.790695,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.05
MC-0026,CCG 765,-50.7179,-7.792055,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.06
MC-0027,CCG 766,-50.9916,-7.794111,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.02
MC-0028,CCG 767,-51,-7.788671,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.08
MC-0029,CCG 768,-51.094,-7.789758,Acme,ICP14B/1F04,Sed. Cor.,4,0.08
MC-0030A,CCG 769,-51.2762,-7.793475,Acme,ICP14B/1F04,Sed. Cor.,2.7,0.28
MC-0030B,CCH158,-51.2762,-7.793475,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.08
MC-0031,CCG 770,-51.5754,-7.790727,Acme,ICP14B/1F04,Sed. Cor.,2.3,0.17
MC-0032,CCG 771,-50.9998,-7.806159,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.13
MC-0033,CCG 772,-51.0746,-7.808822,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.14
MC-0034,CCG 773,-51.1929,-7.812985,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.21
MC-0035,CCG 774,-51.1917,-7.812441,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.14
MC-0036,CCG 775,-51.2607,-7.809141,Acme,ICP14B/1F04,Sed. Cor.,1,0.08
MC-0037,CCG 776,-51.5936,-7.807614,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.11
MC-0038,CCG 777,-51.0699,-7.789641,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
MC-0039,CCG 778,-51.4797,-7.79441,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.03
MC-0040A,CCG 779,-51.7178,-7.799184,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.07
MC-0040B,CCH159,-51.7178,-7.799184,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.06
MC-0041,CCG 780,-52.4454,-7.813769,Acme,ICP14B/1F04,Sed. Cor.,16.8,0.3
MC-0042,CCG 781,-52.4888,-7.81357,Acme,ICP14B/1F04,Sed. Cor.,21.1,0.21
MC-0043,CCG 782,-52.2681,-7.8145,Acme,ICP14B/1F04,Sed. Cor.,172.6,0.24
MC-0044,CCG 783,-52.0977,-7.815303,Acme,ICP14B/1F04,Sed. Cor.,59.2,0.23
MC-0045,CCG 784,-51.8341,-7.814496,Acme,ICP14B/1F04,Sed. Cor.,2.9,0.47
MC-0046,CCG 785,-51.9403,-7.813227,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.38
MC-0047,CCG 786,-51.3364,-7.797812,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.1
MC-0048,CCG 787,-51.666,-7.795038,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.06
MC-0049,CCG 788,-51.7843,-7.793163,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.1
MC-0050A,CCG 789,-51.8113,-7.793673,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.1
MC-0050B,CCH160,-51.8113,-7.793673,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.1
MC-0051,CCG 790,-51.1836,-7.808088,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.09
MC-0052,CCG 791,-51.1727,-7.805337,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.04
MC-0053,CCG 792,-51.3367,-7.802653,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
MC-0054,CCG 793,-51.5623,-7.807434,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.1
MC-0055,CCG 794,-52.0466,-7.813191,Acme,ICP14B/1F04,Sed. Cor.,3.9,0.32
MC-0056,CCG 795,-52.3678,-7.810399,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.13
MC-0057,CCG 796,-52.1442,-7.809719,Acme,ICP14B/1F04,Sed. Cor.,2.4,0.33
MC-0058,CCG 797,-52.1732,-7.808142,Acme,ICP14B/1F04,Sed. Cor.,7.5,0.27
MC-0059,CCG 798,-52.2908,-7.805524,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.28
MC-0060A,CCG 799,-52.1875,-7.804316,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
MC-0060B,CCH161,-52.1875,-7.804316,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.07
MC-0061,CCG 800,-52.1834,-7.803577,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.05
MC-0062,CCG 801,-52.3651,-7.808627,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.13
MC-0063,CCG 802,-52.4575,-7.807667,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.24
MC-0064,CCG 803,-52.313,-7.801597,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.07
MC-0065,CCG 804,-52.4114,-7.799243,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.09
MC-0066,CCG 805,-52.4329,-7.796877,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.11
MC-0067,CCG 806,-52.5036,-7.79795,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
MC-0068,CCG 807,-52.5891,-7.796466,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.12
MC-0069,CCG 808,-52.4925,-7.795264,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.07
MC-0070A,CCG 809,-52.63,-7.793502,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.08
MC-0070B,CCH162,-52.63,-7.793502,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.07
MC-0071,CCG 810,-52.6058,-7.792264,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.05
MC-0072,CCG 811,-52.4791,-7.790365,Acme,ICP14B/1F04,Sed. Cor.,1.8,0.13
MC-0073,CCG 812,-52.5003,-7.789845,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.1
