,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
201,LR-0053,CCG 709,-44.75484276,-19.73144489,Acme,ICP14B/1F04,Sed. Cor.,29.6,0.2
202,LR-0054,CCG 710,-44.502188,-19.93068419,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.38
203,LR-0055,CCG 711,-44.53390368,-19.93339982,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.57
204,LR-0056,CCG 712,-44.50827538,-19.98599532,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.58
205,LR-0057,CCG 713,-44.50776277,-19.9879277,Acme,ICP14B/1F04,Sed. Cor.,1,0.54
206,LR-0058,CCG 714,-44.55440694,-19.92078317,Acme,ICP14B/1F04,Sed. Cor.,0.7,1
207,LR-0059,CCG 715,-44.60803543,-19.90628825,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.1
208,LR-0060A,CCG 716,-44.58948931,-19.92185262,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.11
209,LR-0060B,CCH153,-44.58948931,-19.92185262,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.11
210,LR-0061,CCG 717,-44.57650111,-19.93738313,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.14
211,LR-0062,CCG 718,-44.6095347,-19.976551,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.05
212,LR-0063,CCG 719,-44.59582334,-19.99349089,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
213,LR-0064,CCG 720,-44.63511389,-19.97174378,Acme,ICP14B/1F04,Sed. Cor.,1,0.05
214,LR-0065,CCG 721,-44.62661771,-19.89005322,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.3
215,LR-0066,CCG 722,-44.63092799,-19.88923987,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.09
216,LR-0067,CCG 723,-44.64290933,-19.88410437,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.16
217,LR-0068,CCG 724,-44.57607913,-19.7725447,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.52
218,LR-0069,CCG 725,-44.56448969,-19.80090115,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.67
219,LR-0070A,CCG 726,-44.66541501,-19.86606565,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.18
220,LR-0070B,CCH154,-44.66541501,-19.86606565,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.16
221,LR-0071,CCG 727,-44.67251851,-19.85349974,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.1
222,LR-0072,CCG 728,-44.68479313,-19.82839067,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.3
223,LR-0073,CCG 729,-44.68848969,-19.82299318,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.42
224,LR-0075,CCG 730,-44.72432298,-19.80881012,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.28
225,LR-0076,CCG 731,-44.74724703,-19.86991461,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.17
226,LR-0077,CCG 732,-44.74912155,-19.88055351,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.09
227,LR-0078,CCG 733,-44.72014846,-19.88622155,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.18
228,LR-0079,CCG 734,-44.73387292,-19.88226643,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.05
229,LR-0080A,CCG 735,-44.72014849,-19.88620348,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
230,LR-0080B,CCH155,-44.72014849,-19.88620348,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.11
231,LR-0081,CCG 736,-44.70816615,-19.8931154,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.09
232,LR-0082,CCG 737,-44.70903237,-19.900057,Acme,ICP14B/1F04,Sed. Cor.,1,0.11
233,LR-0083,CCG 738,-44.68415344,-19.91032544,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.24
