,Estacao,N. Lab.,Long (X) 4326,Lat (Y) 4326,Laboratorio,Cod análise,Tipo de amostra,As (PPM),Bi (PPM)
56,AF-0052,CCG 577,-44.86597542,-19.53948925,Acme,ICP14B/1F04,Sed. Cor.,18.7,0.26
57,AF-0053,CCG 578,-44.8813626,-19.52368501,Acme,ICP14B/1F04,Sed. Cor.,17.3,0.3
58,AF-0054,CCG 579,-44.89832802,-19.50917262,Acme,ICP14B/1F04,Sed. Cor.,9.4,0.29
59,AF-0055,CCG 580,-44.78110632,-19.49925444,Acme,ICP14B/1F04,Sed. Cor.,24,0.39
60,AF-0056,CCG 581,-44.86717023,-19.52382877,Acme,ICP14B/1F04,Sed. Cor.,23.6,0.27
61,AF-0057,CCG 582,-44.83418898,-19.52640423,Acme,ICP14B/1F04,Sed. Cor.,12.6,0.27
62,AF-0058,CCG 583,-44.79513934,-19.54069706,Acme,ICP14B/1F04,Sed. Cor.,22.5,0.2
63,AF-0059,CCG 584,-44.79525228,-19.5418449,Acme,ICP14B/1F04,Sed. Cor.,9.7,0.32
64,AF-0060A,CCG 585,-44.80100285,-19.54757182,Acme,ICP14B/1F04,Sed. Cor.,21.6,0.33
65,AF-0060B,CCH140,-44.80100285,-19.54757182,Acme,ICP14B/1F04,Sed. Cor.,18.6,0.3
66,AF-0061,CCG 586,-44.89187918,-19.54713395,Acme,ICP14B/1F04,Sed. Cor.,21.7,0.44
67,AF-0062,CCG 587,-44.7919792,-19.60398008,Acme,ICP14B/1F04,Sed. Cor.,4.4,0.25
68,AF-0063,CCG 588,-44.7843972,-19.61175205,Acme,ICP14B/1F04,Sed. Cor.,15.7,0.29
69,AF-0064,CCG 589,-44.78031187,-19.62148903,Acme,ICP14B/1F04,Sed. Cor.,8.7,0.39
70,AF-0065,CCG 590,-44.75550216,-19.65544517,Acme,ICP14B/1F04,Sed. Cor.,4.5,0.45
71,AF-0066,CCG 591,-44.76400163,-19.64883242,Acme,ICP14B/1F04,Sed. Cor.,16.6,0.49
72,AF-0067,CCG 592,-44.75371555,-19.56331937,Acme,ICP14B/1F04,Sed. Cor.,9.2,1.82
73,AF-0068,CCG 593,-44.7667308,-19.62825874,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.28
74,AF-0069,CCG 594,-44.9423078,-19.70683295,Acme,ICP14B/1F04,Sed. Cor.,23.8,0.18
75,AF-0070A,CCG 595,-44.90122787,-19.72358764,Acme,ICP14B/1F04,Sed. Cor.,70.3,0.12
76,AF-0070B,CCH141,-44.90122787,-19.72358764,Acme,ICP14B/1F04,Sed. Cor.,65.4,0.11
77,AF-0071,CCG 596,-44.80860324,-19.63397435,Acme,ICP14B/1F04,Sed. Cor.,43.7,0.24
78,AF-0072,CCG 597,-44.8129911,-19.63359037,Acme,ICP14B/1F04,Sed. Cor.,13.2,0.28
79,AF-0073,CCG 598,-44.80094134,-19.62867034,Acme,ICP14B/1F04,Sed. Cor.,25.2,0.29
80,AF-0074,CCG 599,-44.79796573,-19.62858569,Acme,ICP14B/1F04,Sed. Cor.,41.9,0.33
81,AF-0075,CCG 600,-44.76196761,-19.55961621,Acme,ICP14B/1F04,Sed. Cor.,13.5,0.39
82,AF-0076,CCG 601,-44.74888352,-19.57463614,Acme,ICP14B/1F04,Sed. Cor.,4,0.32
83,AF-0077,CCG 602,-44.75185674,-19.57560722,Acme,ICP14B/1F04,Sed. Cor.,12.3,0.2
84,AF-0078,CCG 603,-44.73517844,-19.75732563,Acme,ICP14B/1F04,Sed. Cor.,19.9,0.25
85,AF-0079,CCG 604,-44.73774513,-19.78125898,Acme,ICP14B/1F04,Sed. Cor.,16.2,0.21
86,AF-0080A,CCG 605,-44.74291733,-19.78847789,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.28
87,AF-0080B,CCH142,-44.74291733,-19.78847789,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.36
88,AF-0081,CCG 606,-44.72771149,-19.78700045,Acme,ICP14B/1F04,Sed. Cor.,23.5,0.2
89,AF-0082,CCG 607,-44.72267937,-19.79303834,Acme,ICP14B/1F04,Sed. Cor.,2.5,0.58
90,AF-0083,CCG 608,-44.67922197,-19.76361411,Acme,ICP14B/1F04,Sed. Cor.,2.6,1.94
91,AF-0084,CCG 609,-44.68453095,-19.7578942,Acme,ICP14B/1F04,Sed. Cor.,8.6,0.16
92,AF-0085,CCG 610,-44.663667,-19.7934883,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.46
93,AF-0086,CCG 611,-44.64542253,-19.80198374,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.37
94,AF-0087,CCG 612,-44.64790208,-19.81630285,Acme,ICP14B/1F04,Sed. Cor.,8.7,1.23
95,AF-0088,CCG 613,-44.64078051,-19.82406026,Acme,ICP14B/1F04,Sed. Cor.,6.4,0.4
96,AF-0089,CCG 614,-44.63117927,-19.82599262,Acme,ICP14B/1F04,Sed. Cor.,8.1,0.88
97,AF-0090A,CCG 615,-44.62319217,-19.82364446,Acme,ICP14B/1F04,Sed. Cor.,7.9,1.29
98,AF-0090B,CCH143,-44.62319217,-19.82364446,Acme,ICP14B/1F04,Sed. Cor.,8.3,1.49
99,AF-0091,CCG 616,-44.63826837,-19.76944608,Acme,ICP14B/1F04,Sed. Cor.,8.2,0.25
100,AF-0092,CCG 617,-44.63456976,-19.77974952,Acme,ICP14B/1F04,Sed. Cor.,2,0.33
101,AF-0093,CCG 618,-44.6060105,-19.8364937,Acme,ICP14B/1F04,Sed. Cor.,6,0.41
102,AF-0094,CCG 619,-44.64074692,-19.88142517,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.28
103,AF-0095,CCG 620,-44.7028668,-19.96835494,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.05
104,AF-0096,CCG 621,-44.67920895,-19.98846537,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.1
105,AF-0097,CCG 622,-44.65930908,-19.96092086,Acme,ICP14B/1F04,Sed. Cor.,0.3,0.08
106,AF-0098,CCG 623,-44.61541836,-19.97827176,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.1
107,AF-0099,CCG 624,-44.63535977,-19.9728829,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.04
108,AF-0100A,CCG 625,-44.71911366,-19.99067476,Acme,ICP14B/1F04,Sed. Cor.,1,0.06
109,AF-0100B,CCH144,-44.71911366,-19.99067476,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.06
110,ED-0001,CCG 626,-44.65199497,-19.57509883,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.2
111,ED-0002,CCG 627,-44.65865208,-19.58311832,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.14
112,ED-0003,CCG 628,-44.65968058,-19.57463453,Acme,ICP14B/1F04,Sed. Cor.,1.5,0.18
113,ED-0004,CCG 629,-44.65475696,-19.62119267,Acme,ICP14B/1F04,Sed. Cor.,3.5,0.57
114,ED-0005,CCG 630,-44.67430394,-19.52823831,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.15
115,ED-0006,CCG 631,-44.70067862,-19.52778687,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.49
116,ED-0007,CCG 632,-44.73056076,-19.51585972,Acme,ICP14B/1F04,Sed. Cor.,1,0.29
117,ED-0008,CCG 633,-44.73986281,-19.51590949,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.18
118,ED-0009,CCG 634,-44.59283541,-19.502625,Acme,ICP14B/1F04,Sed. Cor.,0.7,0.18
119,ED-0010A,CCG 635,-44.61393745,-19.51758233,Acme,ICP14B/1F04,Sed. Cor.,1.2,0.1
120,ED-0010B,CCH145,-44.61393745,-19.51758233,Acme,ICP14B/1F04,Sed. Cor.,1.7,0.15
121,ED-0011,CCG 636,-44.73949216,-19.53309751,Acme,ICP14B/1F04,Sed. Cor.,4.7,0.32
122,ED-0012,CCG 637,-44.6591931,-19.54345593,Acme,ICP14B/1F04,Sed. Cor.,2.1,0.27
123,ED-0013,CCG 638,-44.63175751,-19.53560316,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.42
124,ED-0014,CCG 639,-44.60514702,-19.54233375,Acme,ICP14B/1F04,Sed. Cor.,1,0.25
125,ED-0015,CCG 640,-44.61478065,-19.5518705,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.43
126,ED-0016,CCG 641,-44.62205187,-19.58152713,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.15
127,ED-0017,CCG 642,-44.63134308,-19.57118095,Acme,ICP14B/1F04,Sed. Cor.,1.3,0.23
128,ED-0018,CCG 643,-44.60201714,-19.671609,Acme,ICP14B/1F04,Sed. Cor.,1.1,0.48
129,ED-0019,CCG 644,-44.60422513,-19.66986976,Acme,ICP14B/1F04,Sed. Cor.,2,0.1
130,ED-0020A,CCG 645,-44.61196544,-19.6604883,Acme,ICP14B/1F04,Sed. Cor.,3.1,0.14
131,ED-0020B,CCH146,-44.61196544,-19.6604883,Acme,ICP14B/1F04,Sed. Cor.,2.7,0.14
132,JH-0001,CCG 646,-44.92288121,-19.98094917,Acme,ICP14B/1F04,Sed. Cor.,1,0.07
133,JH-0002,CCG 647,-44.9277834,-19.98396045,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.04
134,JH-0003,CCG 648,-44.92818498,-19.98372566,Acme,ICP14B/1F04,Sed. Cor.,1,0.04
135,JH-0004,CCG 649,-44.9325145,-19.98511901,Acme,ICP14B/1F04,Sed. Cor.,0.4,0.05
136,JH-0005,CCG 650,-44.93705598,-19.98253619,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.05
137,JH-0006,CCG 651,-44.94227478,-19.98322475,Acme,ICP14B/1F04,Sed. Cor.,1,0.03
138,JH-0007,CCG 652,-44.93284978,-19.98343831,Acme,ICP14B/1F04,Sed. Cor.,0.1,0.03
139,JH-0008,CCG 653,-44.93330601,-19.98959248,Acme,ICP14B/1F04,Sed. Cor.,0.9,0.07
140,JH-0009,CCG 654,-44.93649681,-19.99443732,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.16
141,JH-0010A,CCG 655,-44.94027092,-19.99935459,Acme,ICP14B/1F04,Sed. Cor.,0.2,0.04
142,JH-0010B,CCH147,-44.94027092,-19.99935459,Acme,ICP14B/1F04,Sed. Cor.,0.8,0.04
143,JH-0011,CCG 656,-44.93398348,-19.99253869,Acme,ICP14B/1F04,Sed. Cor.,1.4,0.14
144,JH-0012,CCG 657,-44.93340865,-19.9955477,Acme,ICP14B/1F04,Sed. Cor.,0.6,0.06
145,JH-0013,CCG 658,-44.92866016,-19.98985273,Acme,ICP14B/1F04,Sed. Cor.,1,0.1
146,LR-0001,CCG 659,-44.72222234,-19.64870045,Acme,ICP14B/1F04,Sed. Cor.,10.3,0.27
147,LR-0002,CCG 660,-44.70909781,-19.65890049,Acme,ICP14B/1F04,Sed. Cor.,10.5,0.28
